patch	chromosome
HSCHR1_4_CTG3	1
HSCHR1_5_CTG3	1
HSCHR1_5_CTG32_1	1
HSCHR1_6_CTG3	1
HSCHR1_8_CTG3	1
HSCHR1_9_CTG3	1
HSCHR10_1_CTG2	10
HSCHR10_1_CTG5	10
HSCHR10_1_CTG6	10
HSCHR11_1_CTG1_1	11
HSCHR11_1_CTG1_2	11
HSCHR11_1_CTG3_1	11
HSCHR11_2_CTG1_1	11
HSCHR11_2_CTG8	11
HSCHR11_3_CTG1	11
HSCHR12_1_CTG1	12
HSCHR12_1_CTG2	12
HSCHR12_1_CTG2_1	12
HSCHR12_1_CTG5	12
HSCHR12_2_CTG1	12
HSCHR12_2_CTG2	12
HSCHR12_2_CTG2_1	12
HSCHR12_3_CTG2	12
HSCHR12_3_CTG2_1	12
HSCHR12_8_CTG2_1	12
HSCHR12_9_CTG2_1	12
HSCHR13_1_CTG7	13
HSCHR13_1_CTG8	13
HSCHR14_7_CTG1	14
HSCHR14_8_CTG1	14
HSCHR14_9_CTG1	14
HSCHR15_1_CTG4	15
HSCHR15_1_CTG8	15
HSCHR15_4_CTG8	15
HSCHR15_6_CTG8	15
HSCHR16_1_CTG3_1	16
HSCHR16_2_CTG3_1	16
HSCHR16_3_CTG3_1	16
HSCHR16_4_CTG1	16
HSCHR16_4_CTG3_1	16
HSCHR16_5_CTG1	16
HSCHR16_5_CTG3_1	16
HSCHR17_1_CTG1	17
HSCHR17_1_CTG4	17
HSCHR17_10_CTG4	17
HSCHR17_11_CTG4	17
HSCHR17_12_CTG4	17
HSCHR17_2_CTG4	17
HSCHR17_3_CTG1	17
HSCHR17_3_CTG4	17
HSCHR17_4_CTG4	17
HSCHR17_5_CTG4	17
HSCHR17_6_CTG4	17
HSCHR17_7_CTG4	17
HSCHR18_1_CTG1	18
HSCHR18_1_CTG1_1	18
HSCHR18_1_CTG2	18
HSCHR18_1_CTG2_1	18
HSCHR18_2_CTG1_1	18
HSCHR18_2_CTG2	18
HSCHR18_2_CTG2_1	18
HSCHR18_5_CTG1_1	18
HSCHR19_1_CTG3	19
HSCHR19_1_CTG3_1	19
HSCHR19_2_CTG3	19
HSCHR19_3_CTG2	19
HSCHR19_3_CTG3	19
HSCHR19_4_CTG3_1	19
HSCHR19_6_CTG2	19
HSCHR19KIR_0010-5217-AB_CTG3_1	19
HSCHR19KIR_0019-4656-A_CTG3_1	19
HSCHR19KIR_0019-4656-B_CTG3_1	19
HSCHR19KIR_502960008-1_CTG3_1	19
HSCHR19KIR_502960008-2_CTG3_1	19
HSCHR19KIR_7191059-1_CTG3_1	19
HSCHR19KIR_7191059-2_CTG3_1	19
HSCHR19KIR_CA01-TA01_1_CTG3_1	19
HSCHR19KIR_CA01-TA01_2_CTG3_1	19
HSCHR19KIR_CA01-TB01_CTG3_1	19
HSCHR19KIR_CA01-TB04_CTG3_1	19
HSCHR19KIR_CA04_CTG3_1	19
HSCHR19KIR_FH05_A_HAP_CTG3_1	19
HSCHR19KIR_FH05_B_HAP_CTG3_1	19
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	19
HSCHR19KIR_G085_BA1_HAP_CTG3_1	19
HSCHR19KIR_G248_BA2_HAP_CTG3_1	19
