id|entrez_gene_id|hugo_symbol
915|1136|CHRNA3
916|1137|CHRNA4
917|1138|CHRNA5
918|1139|CHRNA7
919|1140|CHRNB1
920|1141|CHRNB2
921|1142|CHRNB3
922|1143|CHRNB4
923|1144|CHRND
924|1145|CHRNE
925|1146|CHRNG
926|1147|CHUK
927|1149|CIDEA
928|1152|CKB
929|1153|CIRBP
930|1154|CISH
931|1155|TBCB
932|1157|CKBP1
933|1158|CKM
934|1159|CKMT1B
935|1160|CKMT2
936|1161|ERCC8
937|1163|CKS1B
938|1164|CKS2
939|1173|AP2M1
940|1174|AP1S1
941|1175|AP2S1
942|1176|AP3S1
943|1178|CLC
944|1179|CLCA1
945|1180|CLCN1
946|1181|CLCN2
947|1182|CLCN3
948|1183|CLCN4
949|1184|CLCN5
950|1185|CLCN6
951|1186|CLCN7
952|1187|CLCNKA
953|1188|CLCNKB
954|1191|CLU
955|1192|CLIC1
956|1193|CLIC2
957|1195|CLK1
958|1196|CLK2
959|1197|CLK2P1
960|1198|CLK3
961|1200|TPP1
962|1201|CLN3
963|1203|CLN5
964|1204|CLNS1AP1
965|1207|CLNS1A
966|1208|CLPS
967|1209|CLPTM1
968|1211|CLTA
969|1212|CLTB
970|1213|CLTC
971|1215|CMA1
972|1230|CCR1
973|1232|CCR3
974|1233|CCR4
975|1234|CCR5
976|1235|CCR6
977|1236|CCR7
978|1237|CCR8
979|1238|ACKR2
980|1240|CMKLR1
981|1241|LTB4R
982|1244|ABCC2
983|1258|CNGB1
984|1259|CNGA1
985|1260|CNGA2
986|1261|CNGA3
987|1262|CNGA4
988|1263|PLK3
989|1264|CNN1
990|1265|CNN2
991|1266|CNN3
992|1267|CNP
993|1268|CNR1
994|1269|CNR2
995|1270|CNTF
996|1271|CNTFR
997|1272|CNTN1
998|1277|COL1A1
999|1278|COL1A2
1000|1279|COL1AR
1001|1280|COL2A1
1002|1281|COL3A1
1003|1282|COL4A1
1004|1284|COL4A2
1005|1285|COL4A3
1006|1286|COL4A4
1007|1287|COL4A5
1008|1288|COL4A6
1009|1289|COL5A1
1010|1290|COL5A2
1011|1291|COL6A1
1012|1292|COL6A2
1013|1293|COL6A3
1014|1294|COL7A1
1015|1295|COL8A1
1016|1296|COL8A2
1017|1297|COL9A1
1018|1298|COL9A2
1019|1299|COL9A3
1020|1300|COL10A1
1021|1301|COL11A1
1022|1302|COL11A2
1023|1303|COL12A1
1024|1305|COL13A1
1025|1306|COL15A1
1026|1307|COL16A1
1027|1308|COL17A1
1028|1310|COL19A1
1029|1311|COMP
1030|1312|COMT
1031|1314|COPA
1032|1315|COPB1
1033|1316|KLF6
1034|1317|SLC31A1
1035|1318|SLC31A2
1036|1325|CORT
1037|1326|MAP3K8
1038|1327|COX4I1
1039|1329|COX5B
1040|1330|COX5BP1
1041|1331|COX5BP2
1042|1332|COX5BP3
1043|1333|COX5BP4
1044|1336|COX5BP7
1045|1337|COX6A1
1046|1338|COX6A1P1
1047|1339|COX6A2
1048|1340|COX6B1
1049|1342|COX6B1P2
1050|1343|COX6B1P3
1051|1345|COX6C
1052|1346|COX7A1
1053|1347|COX7A2
1054|1348|COX7A2P2
1055|1349|COX7B
1056|1350|COX7C
1057|1351|COX8A
1058|1352|COX10
1059|1353|COX11
1060|1355|COX15
1061|1356|CP
1062|1357|CPA1
1063|1358|CPA2
1064|1359|CPA3
1065|1360|CPB1
1066|1361|CPB2
1067|1362|CPD
1068|1363|CPE
1069|1364|CLDN4
1070|1365|CLDN3
1071|1366|CLDN7
1072|1368|CPM
1073|1369|CPN1
1074|1370|CPN2
1075|1371|CPOX
1076|1373|CPS1
1077|1374|CPT1A
1078|1375|CPT1B
1079|1376|CPT2
1080|1378|CR1
1081|1379|CR1L
1082|1380|CR2
1083|1381|CRABP1
1084|1382|CRABP2
1085|1384|CRAT
1086|1385|CREB1
1087|1386|ATF2
1088|1387|CREBBP
1089|1388|ATF6B
1090|1389|CREBL2
1091|1390|CREM
1092|1392|CRH
1093|1393|CRHBP
1094|1394|CRHR1
1095|1395|CRHR2
1096|1396|CRIP1
1097|1397|CRIP2
1098|1398|CRK
1099|1399|CRKL
1100|1400|CRMP1
1101|1401|CRP
1102|1404|HAPLN1
1103|1406|CRX
1104|1407|CRY1
1105|1408|CRY2
1106|1409|CRYAA
1107|1410|CRYAB
1108|1411|CRYBA1
1109|1412|CRYBA2
1110|1413|CRYBA4
1111|1414|CRYBB1
1112|1415|CRYBB2
1113|1416|CRYBB2P1
1114|1417|CRYBB3
1115|1418|CRYGA
1116|1419|CRYGB
1117|1420|CRYGC
1118|1421|CRYGD
1119|1423|CRYGFP
1120|1424|CRYGGP
1121|1427|CRYGS
1122|1428|CRYM
1123|1429|CRYZ
1124|1430|CRYZP1
1125|1431|CS
1126|1432|MAPK14
1127|1434|CSE1L
1128|1435|CSF1
1129|1436|CSF1R
1130|1437|CSF2
1131|1438|CSF2RA
1132|1439|CSF2RB
1133|1440|CSF3
1134|1441|CSF3R
1135|1442|CSH1
1136|1443|CSH2
1137|1444|CSHL1
1138|1445|CSK
1139|1446|CSN1S1
1140|1447|CSN2
1141|1448|CSN3
1142|1452|CSNK1A1
1143|1453|CSNK1D
1144|1454|CSNK1E
1145|1455|CSNK1G2
1146|1456|CSNK1G3
1147|1457|CSNK2A1
1148|1459|CSNK2A2
1149|1460|CSNK2B
1150|1462|VCAN
1151|1463|NCAN
1152|1464|CSPG4
1153|1465|CSRP1
1154|1466|CSRP2
1155|1467|CSRP2P1
1156|1468|SLC25A10
1157|1469|CST1
1158|1470|CST2
1159|1471|CST3
1160|1472|CST4
1161|1473|CST5
1162|1474|CST6
1163|1475|CSTA
1164|1476|CSTB
1165|1477|CSTF1
1166|1478|CSTF2
1167|1479|CSTF3
1168|1480|CSTP1
1169|1481|CSTP2
1170|1482|NKX2-5
1171|1485|CTAG1B
1172|1486|CTBS
1173|1487|CTBP1
1174|1488|CTBP2
1175|1489|CTF1
1176|1490|CCN2
1177|1491|CTH
1178|1493|CTLA4
1179|1495|CTNNA1
1180|1496|CTNNA2
1181|1497|CTNS
1182|1498|CTNNA1P1
1183|1499|CTNNB1
1184|1500|CTNND1
1185|1501|CTNND2
1186|1503|CTPS1
1187|1504|CTRB1
1188|1506|CTRL
1189|1508|CTSB
1190|1509|CTSD
1191|1510|CTSE
1192|1511|CTSG
1193|1512|CTSH
1194|1513|CTSK
1195|1514|CTSL
1196|1515|CTSV
1197|1517|CTSLP2
1198|1518|CTSLP8
1199|1519|CTSO
1200|1520|CTSS
1201|1521|CTSW
1202|1522|CTSZ
1203|1523|CUX1
1204|1524|CX3CR1
1205|1525|CXADR
1206|1527|TEX28
1207|1528|CYB5A
1208|1531|CYB5AP3
1209|1532|CYB5AP4
1210|1534|CYB561
1211|1535|CYBA
1212|1536|CYBB
1213|1537|CYC1
1214|1538|CYLC1
1215|1539|CYLC2
1216|1540|CYLD
1217|1543|CYP1A1
1218|1544|CYP1A2
1219|1545|CYP1B1
1220|1548|CYP2A6
1221|1549|CYP2A7
1222|1550|CYP2A7P1
1223|1551|CYP3A7
1224|1553|CYP2A13
1225|1555|CYP2B6
1226|1556|CYP2B7P
1227|1557|CYP2C19
1228|1558|CYP2C8
1229|1559|CYP2C9
1230|1562|CYP2C18
1231|1564|CYP2D7
1232|1565|CYP2D6
1233|1568|CYP2D8P
1234|1571|CYP2E1
1235|1572|CYP2F1
1236|1573|CYP2J2
1237|1574|CYP3A
1238|1576|CYP3A4
1239|1577|CYP3A5
1240|1578|CYP3A51P
1241|1579|CYP4A11
1242|1580|CYP4B1
1243|1581|CYP7A1
1244|1582|CYP8B1
1245|1583|CYP11A1
1246|1584|CYP11B1
1247|1585|CYP11B2
1248|1586|CYP17A1
1249|1587|ADAM3A
1250|1588|CYP19A1
1251|1589|CYP21A2
1252|1590|CYP21A1P
1253|1591|CYP24A1
1254|1592|CYP26A1
1255|1593|CYP27A1
1256|1594|CYP27B1
1257|1595|CYP51A1
1258|1596|ADAM3B
1259|1600|DAB1
1260|1601|DAB2
1261|1602|DACH1
1262|1603|DAD1
1263|1604|CD55
1264|1605|DAG1
1265|1606|DGKA
1266|1607|DGKB
1267|1608|DGKG
1268|1609|DGKQ
1269|1610|DAO
1270|1611|DAP
1271|1612|DAPK1
1272|1613|DAPK3
1273|1615|DARS1
1274|1616|DAXX
1275|1617|DAZ1
1276|1618|DAZL
1277|1620|BRINP1
1278|1621|DBH
1279|1622|DBI
1280|1623|DBIP2
1281|1624|DBIP1
1282|1627|DBN1
1283|1628|DBP
1284|1629|DBT
1285|1630|DCC
1286|1632|ECI1
1287|1633|DCK
1288|1634|DCN
1289|1635|DCTD
1290|1636|ACE
1291|1637|DCR
1292|1638|DCT
1293|1639|DCTN1
1294|1641|DCX
1295|1642|DDB1
1296|1643|DDB2
1297|1644|DDC
1298|1645|AKR1C1
1299|1646|AKR1C2
1300|1647|GADD45A
1301|1648|GADD45AP1
1302|1649|DDIT3
1303|1650|DDOST
1304|1652|DDT
1305|1653|DDX1
1306|1654|DDX3X
1307|1655|DDX5
1308|1656|DDX6
1309|1657|DMXL1
1310|1659|DHX8
1311|1660|DHX9
1312|1661|DHX9P1
1313|1662|DDX10
1314|1663|DDX11
1315|1665|DHX15
1316|1666|DECR1
1317|1667|DEFA1
1318|1668|DEFA3
1319|1669|DEFA4
1320|1670|DEFA5
1321|1671|DEFA6
1322|1672|DEFB1
1323|1673|DEFB4A
1324|1674|DES
1325|1675|CFD
1326|1676|DFFA
1327|1677|DFFB
1328|1678|TIMM8A
1329|1687|GSDME
1330|1690|COCH
1331|1714|DGCR
1332|1716|DGUOK
1333|1717|DHCR7
1334|1718|DHCR24
1335|1719|DHFR
1336|1720|DHFRP3
1337|1723|DHODH
1338|1725|DHPS
